2025/08/27 00:29:45 main.go:158: UDP server listening on 192.168.2.40:5556
2025/08/27 00:29:45 main.go:77: TCP server listening on 192.168.2.40:5555
2025/08/27 00:42:35 main.go:158: UDP server listening on 192.168.2.40:5556
2025/08/27 00:42:35 main.go:77: TCP server listening on 192.168.2.40:5555
2025/08/27 00:42:42 main.go:109: Client connected: 192.168.2.39:60781
2025/08/27 00:42:42 main.go:192: UDP client locked to: 192.168.2.39:51370
2025/08/27 00:42:44 main.go:142: Received command: CLICK_LEFT
2025/08/27 00:42:44 main.go:221: Executing command: CLICK_LEFT
2025/08/27 00:42:44 main.go:245: Left click
2025/08/27 00:42:45 main.go:142: Received command: CLICK_RIGHT
2025/08/27 00:42:45 main.go:221: Executing command: CLICK_RIGHT
2025/08/27 00:42:46 main.go:142: Received command: CLICK_LEFT
2025/08/27 00:42:46 main.go:221: Executing command: CLICK_LEFT
2025/08/27 00:42:46 main.go:245: Left click
2025/08/27 00:42:48 main.go:142: Received command: CURRENT_VOLUME
2025/08/27 00:42:48 main.go:221: Executing command: CURRENT_VOLUME
2025/08/27 00:42:49 main.go:142: Received command: VOLUME_DOWN
2025/08/27 00:42:49 main.go:221: Executing command: VOLUME_DOWN
2025/08/27 00:42:49 main.go:142: Received command: CURRENT_VOLUME
2025/08/27 00:42:49 main.go:221: Executing command: CURRENT_VOLUME
2025/08/27 00:42:49 main.go:142: Received command: VOLUME_DOWN
2025/08/27 00:42:49 main.go:221: Executing command: VOLUME_DOWN
2025/08/27 00:42:49 main.go:142: Received command: CURRENT_VOLUME
2025/08/27 00:42:49 main.go:221: Executing command: CURRENT_VOLUME
2025/08/27 00:42:50 main.go:142: Received command: VOLUME_DOWN
2025/08/27 00:42:50 main.go:221: Executing command: VOLUME_DOWN
2025/08/27 00:42:50 main.go:142: Received command: CURRENT_VOLUME
2025/08/27 00:42:50 main.go:221: Executing command: CURRENT_VOLUME
2025/08/27 00:42:51 main.go:142: Received command: PLAY_PAUSE
2025/08/27 00:42:51 main.go:221: Executing command: PLAY_PAUSE
2025/08/27 00:42:53 main.go:142: Received command: VOLUME_UP
2025/08/27 00:42:53 main.go:221: Executing command: VOLUME_UP
2025/08/27 00:42:53 main.go:142: Received command: CURRENT_VOLUME
2025/08/27 00:42:53 main.go:221: Executing command: CURRENT_VOLUME
2025/08/27 00:42:54 main.go:142: Received command: VOLUME_UP
2025/08/27 00:42:54 main.go:221: Executing command: VOLUME_UP
2025/08/27 00:42:54 main.go:142: Received command: CURRENT_VOLUME
2025/08/27 00:42:54 main.go:221: Executing command: CURRENT_VOLUME
2025/08/27 00:42:54 main.go:142: Received command: VOLUME_UP
2025/08/27 00:42:54 main.go:221: Executing command: VOLUME_UP
2025/08/27 00:42:54 main.go:142: Received command: CURRENT_VOLUME
2025/08/27 00:42:54 main.go:221: Executing command: CURRENT_VOLUME
2025/08/27 00:42:54 main.go:142: Received command: PLAY_PAUSE
2025/08/27 00:42:54 main.go:221: Executing command: PLAY_PAUSE
2025/08/27 00:43:03 main.go:142: Received command: CURRENT_VOLUME
2025/08/27 00:43:03 main.go:221: Executing command: CURRENT_VOLUME
2025/08/27 00:43:04 main.go:142: Received command: PLAY_PAUSE
2025/08/27 00:43:04 main.go:221: Executing command: PLAY_PAUSE
2025/08/27 00:43:06 main.go:142: Received command: VOLUME_DOWN
2025/08/27 00:43:06 main.go:221: Executing command: VOLUME_DOWN
2025/08/27 00:43:06 main.go:142: Received command: CURRENT_VOLUME
2025/08/27 00:43:06 main.go:221: Executing command: CURRENT_VOLUME
2025/08/27 00:43:06 main.go:142: Received command: VOLUME_DOWN
2025/08/27 00:43:06 main.go:221: Executing command: VOLUME_DOWN
2025/08/27 00:43:07 main.go:142: Received command: CURRENT_VOLUME
2025/08/27 00:43:07 main.go:221: Executing command: CURRENT_VOLUME
2025/08/27 00:43:07 main.go:142: Received command: VOLUME_DOWN
2025/08/27 00:43:07 main.go:221: Executing command: VOLUME_DOWN
2025/08/27 00:43:07 main.go:142: Received command: CURRENT_VOLUME
2025/08/27 00:43:07 main.go:221: Executing command: CURRENT_VOLUME
2025/08/27 00:43:07 main.go:142: Received command: VOLUME_DOWNCURRENT_VOLUME
2025/08/27 00:43:07 main.go:221: Executing command: VOLUME_DOWNCURRENT_VOLUME
2025/08/27 00:43:07 main.go:265: Unknown command: VOLUME_DOWNCURRENT_VOLUME
2025/08/27 00:43:08 main.go:142: Received command: VOLUME_DOWN
2025/08/27 00:43:08 main.go:221: Executing command: VOLUME_DOWN
2025/08/27 00:43:08 main.go:142: Received command: CURRENT_VOLUMEVOLUME_DOWN
2025/08/27 00:43:08 main.go:221: Executing command: CURRENT_VOLUMEVOLUME_DOWN
2025/08/27 00:43:08 main.go:265: Unknown command: CURRENT_VOLUMEVOLUME_DOWN
2025/08/27 00:43:08 main.go:142: Received command: CURRENT_VOLUME
2025/08/27 00:43:08 main.go:221: Executing command: CURRENT_VOLUME
